id,movie_id,screen_id,start_time,end_time,price
1,1,1,2024-02-20 10:00:00,2024-02-20 13:01:00,15000
2,1,1,2024-02-20 14:00:00,2024-02-20 17:01:00,15000
3,1,3,2024-02-20 19:00:00,2024-02-20 22:01:00,20000
4,2,2,2024-02-20 11:00:00,2024-02-20 13:12:00,14000
5,2,2,2024-02-20 15:00:00,2024-02-20 17:12:00,14000
6,2,4,2024-02-20 18:00:00,2024-02-20 20:12:00,14000
7,3,1,2024-02-20 09:00:00,2024-02-20 10:50:00,12000
8,3,5,2024-02-20 13:00:00,2024-02-20 14:50:00,12000
9,3,6,2024-02-20 16:00:00,2024-02-20 17:50:00,13000
10,1,7,2024-02-20 20:00:00,2024-02-20 23:01:00,25000
11,2,8,2024-02-21 10:00:00,2024-02-21 12:12:00,14000
12,2,8,2024-02-21 14:00:00,2024-02-21 16:12:00,14000
13,3,9,2024-02-21 11:00:00,2024-02-21 12:50:00,12000
14,1,10,2024-02-21 19:00:00,2024-02-21 22:01:00,22000
15,2,10,2024-02-21 14:00:00,2024-02-21 16:12:00,18000
